,Season,Date,Location,Opponent,OpponentRank,Result,IlliniScore,OpponentScore,Note
123,2010,10/2/2010,vs.,Ohio State,,L,13.0,24.0,
124,2010,10/9/2010,@,Penn State,,W,33.0,13.0,
125,2010,10/16/2010,@,Michigan State,,L,6.0,26.0,
126,2010,10/23/2010,vs.,Indiana,,W,43.0,13.0,Homecoming
127,2010,10/30/2010,vs.,Purdue,,W,44.0,10.0,
128,2010,11/6/2010,@,Michigan,,L,65.0,67.0,
129,2010,11/13/2010,vs.,Minnesota,,L,34.0,38.0,
130,2010,11/20/2010,"Chicago, IL",Northwestern,,W,48.0,27.0,
131,2010,12/3/2010,@,Fresno State,,L,23.0,25.0,
132,2010,12/29/2010,"Houston, TX",Baylor,,W,38.0,14.0,Texas Bowl
133,2009,9/5/2009,"St. Louis, MO",Missouri,,L,9.0,37.0,
134,2009,9/12/2009,vs.,Illinois State,,W,45.0,17.0,
135,2009,9/26/2009,@,Ohio State,,L,0.0,30.0,
136,2009,10/3/2009,vs.,Penn State,,L,17.0,35.0,
137,2009,10/10/2009,vs.,Michigan State,,L,14.0,24.0,Homecoming
138,2009,10/17/2009,@,Indiana,,L,14.0,27.0,
139,2009,10/24/2009,@,Purdue,,L,14.0,24.0,
140,2009,10/31/2009,vs.,Michigan,,W,38.0,13.0,
141,2009,11/7/2009,@,Minnesota,,W,35.0,32.0,
142,2009,11/14/2009,vs.,Northwestern,,L,16.0,21.0,
143,2009,11/27/2009,@,Cincinnati,,L,36.0,49.0,
144,2009,12/5/2009,vs.,Fresno State,,L,52.0,53.0,
145,2008,8/30/2008,"St. Louis, MO",Missouri,,L,42.0,52.0,
146,2008,9/6/2008,vs.,Eastern Illinois,,W,47.0,21.0,
147,2008,9/13/2008,vs.,Louisiana-Lafayette,,W,20.0,17.0,
148,2008,9/27/2008,@,Penn State,,L,24.0,38.0,
149,2008,10/4/2008,@,Michigan,,W,45.0,20.0,
150,2008,10/11/2008,vs.,Minnesota,,L,20.0,27.0,Homecoming
151,2008,10/18/2008,vs.,Indiana,,W,55.0,13.0,
152,2008,10/25/2008,@,Wisconsin,,L,17.0,27.0,
153,2008,11/1/2008,vs.,Iowa,,W,27.0,24.0,
154,2008,11/8/2008,"Detroit, MI",Western Michigan,,L,17.0,23.0,
155,2008,11/15/2008,vs.,Ohio State,,L,20.0,30.0,
156,2008,11/22/2008,@,Northwestern,,L,10.0,27.0,
157,2007,1/1/2008,"Pasadena, CA",Southern California,,L,17.0,49.0,Rose Bowl
158,2007,9/1/2007,"St. Louis, MO",Missouri,,L,34.0,40.0,
159,2007,9/8/2007,vs.,Western Illinois,,W,21.0,0.0,
160,2007,9/15/2007,@,Syracuse,,W,41.0,20.0,
161,2007,9/22/2007,@,Indiana,,W,27.0,14.0,
162,2007,9/29/2007,vs.,Penn State,,W,27.0,20.0,
163,2007,10/6/2007,vs.,Wisconsin,,W,31.0,26.0,
164,2007,10/13/2007,@,Iowa,,L,6.0,10.0,
165,2007,10/20/2007,vs.,Michigan,,L,17.0,27.0,
166,2007,10/27/2007,vs.,Ball State,,W,28.0,17.0,Homecoming
167,2007,11/3/2007,@,Minnesota,,W,44.0,17.0,
168,2007,11/10/2007,@,Ohio State,,W,28.0,21.0,
169,2007,11/17/2007,vs.,Northwestern,,W,41.0,22.0,
170,2006,9/2/2006,vs.,Eastern Illinois,,W,42.0,17.0,
171,2006,9/9/2006,@,Rutgers,,L,0.0,33.0,
172,2006,9/16/2006,vs.,Syracuse,,L,21.0,31.0,
173,2006,9/23/2006,vs.,Iowa,,L,7.0,24.0,
174,2006,9/30/2006,@,Michigan State,,W,23.0,20.0,
175,2006,10/7/2006,vs.,Indiana,,L,32.0,34.0,Homecoming
176,2006,10/14/2006,vs.,Ohio,,L,17.0,20.0,
177,2006,10/21/2006,@,Penn State,,L,12.0,26.0,
178,2006,10/28/2006,@,Wisconsin,,L,24.0,30.0,
179,2006,11/4/2006,vs.,Ohio State,,L,10.0,17.0,
180,2006,11/11/2006,vs.,Purdue,,L,31.0,42.0,
181,2006,11/18/2006,@,Northwestern,,L,16.0,27.0,
182,2005,9/3/2005,vs.,Rutgers,,W,33.0,30.0,
183,2005,9/10/2005,vs.,San Jose State,,W,40.0,19.0,
184,2005,9/17/2005,@,California,,L,20.0,35.0,
185,2005,9/24/2005,vs.,Michigan State,,L,14.0,61.0,
186,2005,10/1/2005,@,Iowa,,L,7.0,35.0,
187,2005,10/8/2005,@,Indiana,,L,13.0,36.0,
188,2005,10/22/2005,vs.,Penn State,,L,10.0,63.0,Homecoming
189,2005,10/29/2005,vs.,Wisconsin,,L,24.0,41.0,
190,2005,11/5/2005,@,Ohio State,,L,2.0,40.0,
191,2005,11/12/2005,@,Purdue,,L,3.0,37.0,
192,2005,11/19/2005,vs.,Northwestern,,L,21.0,38.0,
193,2004,9/4/2004,vs.,Florida A&M,,W,52.0,13.0,
194,2004,9/11/2004,vs.,UCLA,,L,17.0,35.0,
195,2004,9/18/2004,vs.,Western Michigan,,W,30.0,27.0,
196,2004,9/25/2004,vs.,Purdue,,L,30.0,38.0,
197,2004,10/2/2004,@,Wisconsin,,L,7.0,24.0,
198,2004,10/9/2004,@,Michigan State,,L,25.0,38.0,
199,2004,10/16/2004,vs.,Michigan,,L,19.0,30.0,
200,2004,10/23/2004,@,Minnesota,,L,0.0,45.0,
201,2004,10/30/2004,vs.,Iowa,,L,13.0,23.0,Homecoming
202,2004,11/6/2004,vs.,Indiana,,W,26.0,22.0,
203,2004,11/20/2004,@,Northwestern,,L,21.0,28.0,
204,2003,8/30/2003,"St. Louis, MO",Missouri,,L,15.0,22.0,
205,2003,9/6/2003,vs.,Illinois State,,W,49.0,22.0,
206,2003,9/13/2003,@,UCLA,,L,3.0,6.0,
207,2003,9/20/2003,vs.,California,,L,24.0,31.0,
208,2003,9/27/2003,vs.,Wisconsin,,L,20.0,38.0,
209,2003,10/4/2003,@,Purdue,,L,10.0,43.0,
210,2003,10/11/2003,vs.,Michigan State,,L,14.0,49.0,
211,2003,10/18/2003,@,Michigan,,L,14.0,56.0,
212,2003,10/25/2003,vs.,Minnesota,,L,10.0,36.0,Homecoming
213,2003,11/1/2003,@,Iowa,,L,10.0,41.0,
214,2003,11/8/2003,@,Indiana,,L,14.0,17.0,
215,2003,11/22/2003,vs.,Northwestern,,L,20.0,37.0,
216,2002,8/31/2002,"St. Louis, MO",Missouri,,L,20.0,33.0,
217,2002,9/7/2002,@,Southern Mississippi,,L,20.0,23.0,
218,2002,9/14/2002,vs.,Arkansas State,,W,59.0,7.0,
219,2002,9/21/2002,vs.,San Jose State,,L,35.0,38.0,
220,2002,9/28/2002,vs.,Michigan,,L,28.0,45.0,
221,2002,10/3/2002,@,Minnesota,,L,10.0,31.0,
222,2002,10/12/2002,vs.,Purdue,,W,38.0,31.0,
223,2002,10/26/2002,vs.,Indiana,,W,45.0,14.0,Homecoming
224,2002,11/2/2002,@,Penn State,,L,7.0,18.0,
225,2002,11/9/2002,@,Wisconsin,,W,37.0,20.0,
226,2002,11/16/2002,vs.,Ohio State,,L,16.0,23.0,
227,2002,11/23/2002,@,Northwestern,,W,31.0,24.0,
228,2001,1/1/2002,"New Orleans, LA",Louisiana State,,L,34.0,47.0,Sugar Bowl
229,2001,9/1/2001,@,California,,W,44.0,17.0,
230,2001,9/8/2001,vs.,Northern Illinois,,W,17.0,12.0,
231,2001,9/22/2001,vs.,Louisville,,W,34.0,10.0,
232,2001,9/29/2001,@,Michigan,,L,20.0,45.0,
233,2001,10/6/2001,vs.,Minnesota,,W,25.0,14.0,
234,2001,10/13/2001,@,Indiana,,W,35.0,14.0,
235,2001,10/20/2001,vs.,Wisconsin,,W,42.0,35.0,Homecoming
236,2001,11/3/2001,@,Purdue,,W,38.0,13.0,
237,2001,11/10/2001,vs.,Penn State,,W,33.0,28.0,
238,2001,11/17/2001,@,Ohio State,,W,34.0,22.0,
239,2001,11/22/2001,vs.,Northwestern,,W,34.0,28.0,
240,2000,9/2/2000,vs.,Middle Tennessee State,,W,35.0,6.0,
241,2000,9/9/2000,@,San Diego State,,W,49.0,13.0,
242,2000,9/16/2000,vs.,California,,W,17.0,15.0,
243,2000,9/23/2000,vs.,Michigan,,L,31.0,35.0,
244,2000,9/30/2000,@,Minnesota,,L,10.0,44.0,
245,2000,10/14/2000,vs.,Iowa,,W,31.0,0.0,Homecoming
246,2000,10/21/2000,@,Penn State,,L,25.0,39.0,
247,2000,10/28/2000,@,Michigan State,,L,10.0,14.0,
248,2000,11/4/2000,vs.,Indiana,,W,42.0,35.0,
249,2000,11/11/2000,vs.,Ohio State,,L,21.0,24.0,
250,2000,11/18/2000,@,Northwestern,,L,23.0,61.0,
251,1999,9/4/1999,vs.,Arkansas State,,W,41.0,3.0,
252,1999,9/11/1999,vs.,San Diego State,,W,38.0,10.0,
253,1999,9/18/1999,@,Louisville,,W,41.0,36.0,
254,1999,9/25/1999,vs.,Michigan State,,L,10.0,27.0,
255,1999,10/2/1999,@,Indiana,,L,31.0,34.0,
256,1999,10/16/1999,vs.,Minnesota,,L,7.0,37.0,Homecoming
257,1999,10/23/1999,@,Michigan,,W,35.0,29.0,
258,1999,10/30/1999,vs.,Penn State,,L,7.0,27.0,
259,1999,11/6/1999,@,Iowa,,W,40.0,24.0,
260,1999,11/13/1999,@,Ohio State,,W,46.0,20.0,
261,1999,11/20/1999,vs.,Northwestern,,W,29.0,7.0,
262,1999,12/30/1999,"Miami, FL",Virginia,,W,63.0,21.0,Micron PC Bowl
263,1998,9/5/1998,@,Washington State,,L,13.0,20.0,
264,1998,9/12/1998,vs.,Middle Tennessee State,,W,48.0,20.0,
265,1998,9/19/1998,vs.,Louisville,,L,9.0,35.0,
266,1998,9/26/1998,vs.,Iowa,,L,14.0,37.0,
267,1998,10/3/1998,@,Northwestern,,W,13.0,10.0,
268,1998,10/10/1998,vs.,Ohio State,,L,0.0,41.0,
269,1998,10/17/1998,vs.,Wisconsin,,L,3.0,37.0,Homecoming
270,1998,10/24/1998,@,Purdue,,L,9.0,42.0,
271,1998,10/31/1998,@,Penn State,,L,0.0,27.0,
272,1998,11/7/1998,vs.,Indiana,,W,31.0,16.0,
273,1998,11/21/1998,@,Michigan State,,L,9.0,41.0,
274,1997,9/6/1997,vs.,Southern Mississippi,,L,7.0,24.0,
275,1997,9/13/1997,@,Louisville,,L,14.0,26.0,
276,1997,9/20/1997,vs.,Washington State,,L,22.0,35.0,
277,1997,9/27/1997,@,Iowa,,L,10.0,38.0,
278,1997,10/4/1997,vs.,Penn State,,L,6.0,41.0,
279,1997,10/11/1997,@,Wisconsin,,L,7.0,31.0,
280,1997,10/25/1997,vs.,Purdue,,L,3.0,48.0,Homecoming
281,1997,11/1/1997,@,Indiana,,L,6.0,23.0,
